epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6833,1.61087,3.39732,1.45863,0.83252,0.16225,0.24318,0.11884,1.66013,3.20117,1.68392,0.000561607,0.000561607,0.000561607
2,67.5849,1.54641,2.80104,1.47498,0.40465,0.51087,0.40461,0.22072,1.61939,2.36474,1.59414,0.00112207,0.00112207,0.00112207
3,97.0647,1.63158,2.4494,1.52287,0.61195,0.52894,0.52297,0.26836,1.58142,2.02587,1.56131,0.0016763,0.0016763,0.0016763
4,126.514,1.58753,2.24379,1.48395,0.49743,0.4299,0.44733,0.24226,1.56551,2.714,1.59871,0.00167195,0.00167195,0.00167195
5,155.983,1.53671,1.90845,1.47126,0.52368,0.49104,0.46235,0.26307,1.53882,1.80883,1.52195,0.0016626,0.0016626,0.0016626
6,185.857,1.55479,1.7666,1.48723,0.59383,0.63352,0.60353,0.3398,1.52403,1.55978,1.54321,0.00165325,0.00165325,0.00165325
7,215.057,1.53512,1.71943,1.47582,0.64139,0.59288,0.60409,0.33622,1.5774,1.464,1.56139,0.0016439,0.0016439,0.0016439
8,244.417,1.51161,1.66305,1.42262,0.57709,0.5896,0.53868,0.30254,1.55237,1.55677,1.56264,0.00163455,0.00163455,0.00163455
9,274.483,1.50288,1.51052,1.44447,0.60674,0.61283,0.57683,0.32411,1.53001,1.37891,1.57369,0.0016252,0.0016252,0.0016252
10,304.04,1.50838,1.51648,1.44971,0.56144,0.58013,0.57376,0.32177,1.55344,1.56527,1.57579,0.00161585,0.00161585,0.00161585
11,333.801,1.47338,1.46579,1.42866,0.65817,0.62053,0.62482,0.35517,1.46529,1.41482,1.50854,0.0016065,0.0016065,0.0016065
12,364.26,1.41228,1.42081,1.38304,0.66773,0.6809,0.68087,0.39452,1.47211,1.22289,1.47514,0.00159715,0.00159715,0.00159715
13,394.681,1.43491,1.3981,1.37191,0.58757,0.66771,0.64112,0.37247,1.44919,1.25237,1.44175,0.0015878,0.0015878,0.0015878
14,424.425,1.44161,1.361,1.39438,0.64409,0.64907,0.63377,0.35102,1.51353,1.23477,1.5145,0.00157845,0.00157845,0.00157845
15,454.465,1.45043,1.33303,1.42029,0.58288,0.66944,0.63648,0.3488,1.58606,1.26993,1.56136,0.0015691,0.0015691,0.0015691
16,484.946,1.44626,1.38108,1.41332,0.67363,0.58044,0.60106,0.32172,1.53512,1.32035,1.528,0.00155975,0.00155975,0.00155975
17,514.808,1.40075,1.25617,1.36745,0.59366,0.72789,0.64949,0.34863,1.57186,1.31157,1.55187,0.0015504,0.0015504,0.0015504
18,544.93,1.39798,1.22936,1.36364,0.58349,0.69015,0.64577,0.36793,1.46722,1.28135,1.50351,0.00154105,0.00154105,0.00154105
19,575.832,1.39902,1.25664,1.36846,0.62283,0.67604,0.65248,0.37833,1.46766,1.19357,1.49648,0.0015317,0.0015317,0.0015317
20,606.03,1.36789,1.22758,1.34657,0.65005,0.66987,0.63785,0.35956,1.47861,1.21748,1.48766,0.00152235,0.00152235,0.00152235
21,636.572,1.39695,1.22414,1.34763,0.6483,0.73795,0.71726,0.40218,1.4855,1.23131,1.4899,0.001513,0.001513,0.001513
22,667.36,1.38435,1.19901,1.35814,0.65649,0.64075,0.64681,0.37221,1.4888,1.34924,1.4925,0.00150365,0.00150365,0.00150365
23,697.319,1.36773,1.13134,1.36735,0.64671,0.65804,0.65095,0.37116,1.5102,1.18791,1.53091,0.0014943,0.0014943,0.0014943
24,727.001,1.35032,1.14486,1.34967,0.65208,0.66904,0.65853,0.38032,1.49952,1.22803,1.49921,0.00148495,0.00148495,0.00148495
25,757.952,1.3569,1.13257,1.34956,0.62149,0.68742,0.63031,0.34957,1.57742,1.24623,1.57264,0.0014756,0.0014756,0.0014756
26,787.629,1.32114,1.08841,1.31337,0.67351,0.69186,0.65065,0.36838,1.56636,1.20108,1.5757,0.00146625,0.00146625,0.00146625
27,817.14,1.32155,1.06612,1.31049,0.60441,0.67912,0.64853,0.37197,1.46665,1.1975,1.47495,0.0014569,0.0014569,0.0014569
28,847.716,1.30909,1.05753,1.32538,0.62144,0.67382,0.65353,0.38009,1.51296,1.21107,1.50559,0.00144755,0.00144755,0.00144755
29,877.545,1.35271,1.13229,1.3353,0.5793,0.71926,0.63936,0.3625,1.50927,1.21489,1.52728,0.0014382,0.0014382,0.0014382
30,907.37,1.31289,1.07946,1.31797,0.62537,0.65364,0.64572,0.35687,1.5041,1.31749,1.51819,0.00142885,0.00142885,0.00142885
31,937.715,1.29741,1.06276,1.29425,0.62931,0.72312,0.69916,0.39855,1.51533,1.15901,1.50646,0.0014195,0.0014195,0.0014195
32,968.004,1.33093,1.05909,1.29591,0.63802,0.7448,0.68136,0.39427,1.47713,1.16965,1.50496,0.00141015,0.00141015,0.00141015
33,997.396,1.30463,1.04165,1.31267,0.71945,0.66907,0.68394,0.39624,1.48637,1.20989,1.49446,0.0014008,0.0014008,0.0014008
34,1027.1,1.28992,1.02333,1.29163,0.60202,0.6684,0.64082,0.3746,1.49584,1.20889,1.48774,0.00139145,0.00139145,0.00139145
35,1058.25,1.30982,1.03287,1.30651,0.62005,0.73236,0.67105,0.3933,1.4777,1.2052,1.50602,0.0013821,0.0013821,0.0013821
36,1088.4,1.28274,1.05051,1.28548,0.67194,0.75451,0.69224,0.39751,1.52592,1.08087,1.52267,0.00137275,0.00137275,0.00137275
37,1117.97,1.26798,0.99234,1.28059,0.65383,0.70619,0.66567,0.36873,1.55636,1.20347,1.56208,0.0013634,0.0013634,0.0013634
38,1148.56,1.25649,0.97963,1.26382,0.7139,0.65954,0.66135,0.37415,1.47105,1.173,1.49144,0.00135405,0.00135405,0.00135405
39,1178.24,1.22309,0.93051,1.25496,0.61669,0.75702,0.68406,0.40066,1.45589,1.07591,1.48548,0.0013447,0.0013447,0.0013447
40,1207.8,1.26567,0.95303,1.27872,0.66276,0.68042,0.66944,0.38848,1.48475,1.18467,1.51205,0.00133535,0.00133535,0.00133535
41,1238.49,1.24956,0.91267,1.26956,0.68186,0.6584,0.68945,0.4001,1.49243,1.16729,1.53329,0.001326,0.001326,0.001326
42,1267.93,1.24089,0.89126,1.27563,0.61642,0.65693,0.6065,0.35701,1.50106,1.34277,1.50422,0.00131665,0.00131665,0.00131665
43,1297.32,1.24858,0.93829,1.27985,0.64491,0.62855,0.61154,0.3576,1.48085,1.37296,1.49191,0.0013073,0.0013073,0.0013073
44,1327.52,1.22626,0.92172,1.25248,0.60234,0.64478,0.60401,0.33186,1.53858,1.3312,1.56191,0.00129795,0.00129795,0.00129795
45,1357.3,1.22536,0.93311,1.25769,0.68518,0.72317,0.68393,0.40762,1.45136,1.10649,1.49821,0.0012886,0.0012886,0.0012886
46,1386.98,1.23614,0.90572,1.25537,0.72871,0.66748,0.69165,0.40588,1.47401,1.10219,1.50906,0.00127925,0.00127925,0.00127925
47,1416.17,1.21293,0.90539,1.25258,0.67124,0.69443,0.68323,0.40221,1.47372,1.08894,1.49396,0.0012699,0.0012699,0.0012699
48,1446.53,1.17277,0.84771,1.24584,0.73319,0.64344,0.68078,0.38702,1.52046,1.10405,1.52927,0.00126055,0.00126055,0.00126055
49,1475.79,1.1868,0.90256,1.22993,0.68725,0.69038,0.67997,0.40049,1.44346,1.0905,1.47484,0.0012512,0.0012512,0.0012512
50,1504.95,1.19401,0.87338,1.23401,0.57882,0.7536,0.60023,0.34654,1.54929,1.29223,1.5761,0.00124185,0.00124185,0.00124185
51,1535.45,1.20227,0.8602,1.22112,0.72125,0.65617,0.68248,0.40893,1.45591,1.13901,1.52869,0.0012325,0.0012325,0.0012325
52,1564.98,1.16115,0.82803,1.23097,0.68986,0.69753,0.68913,0.40379,1.50012,1.16381,1.52991,0.00122315,0.00122315,0.00122315
53,1594.64,1.17672,0.85918,1.2252,0.70513,0.64238,0.6688,0.38586,1.49993,1.16252,1.52566,0.0012138,0.0012138,0.0012138
54,1624.86,1.1622,0.84505,1.2171,0.66421,0.67347,0.65145,0.37515,1.48407,1.15883,1.53623,0.00120445,0.00120445,0.00120445
55,1654.61,1.13941,0.82171,1.2125,0.66298,0.7146,0.66763,0.37092,1.55348,1.24401,1.59049,0.0011951,0.0011951,0.0011951
56,1684.2,1.15357,0.8364,1.22154,0.69204,0.69626,0.67139,0.3788,1.51897,1.18395,1.5602,0.00118575,0.00118575,0.00118575
57,1714.03,1.144,0.80152,1.21129,0.60882,0.73322,0.66559,0.394,1.47878,1.20066,1.5196,0.0011764,0.0011764,0.0011764
58,1744.57,1.12028,0.81184,1.19245,0.64006,0.66206,0.63833,0.36173,1.54697,1.27573,1.57827,0.00116705,0.00116705,0.00116705
59,1774.47,1.13996,0.83686,1.2062,0.63136,0.7231,0.67548,0.40046,1.45304,1.13704,1.51489,0.0011577,0.0011577,0.0011577
60,1804.39,1.11831,0.81356,1.1902,0.65746,0.73319,0.67818,0.39284,1.50798,1.13611,1.56605,0.00114835,0.00114835,0.00114835
61,1834.58,1.10348,0.78663,1.19203,0.67302,0.71168,0.66773,0.37842,1.50792,1.13823,1.54612,0.001139,0.001139,0.001139
62,1864.65,1.0823,0.76247,1.18754,0.64294,0.66873,0.65483,0.38702,1.51804,1.17897,1.57998,0.00112965,0.00112965,0.00112965
63,1894.28,1.08885,0.77661,1.16963,0.65362,0.65875,0.62083,0.3639,1.51061,1.36992,1.54782,0.0011203,0.0011203,0.0011203
64,1924.54,1.12721,0.79508,1.18312,0.63314,0.69378,0.64859,0.38268,1.49938,1.18583,1.53537,0.00111095,0.00111095,0.00111095
65,1954.66,1.08306,0.7671,1.18873,0.60214,0.725,0.67699,0.40027,1.46295,1.229,1.51554,0.0011016,0.0011016,0.0011016
66,1984.23,1.09015,0.77502,1.16666,0.64963,0.67826,0.67227,0.39642,1.47441,1.14854,1.54083,0.00109225,0.00109225,0.00109225
