epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9103,0.9384,0.64971,1.13169,0.64042,0.67787,0.66906,0.39184,1.53406,1.30046,1.68923,0.000550705,0.000550705,0.000550705
2,79.1529,0.95411,0.66979,1.14004,0.64876,0.66239,0.6345,0.35703,1.5851,1.28044,1.7709,0.00108447,0.00108447,0.00108447
3,115.155,1.02357,0.74452,1.1778,0.65083,0.66556,0.66609,0.3886,1.5121,1.28562,1.66065,0.00159622,0.00159622,0.00159622
4,151.196,1.01834,0.77131,1.17182,0.62797,0.6548,0.61867,0.35415,1.57075,1.33342,1.72586,0.00156798,0.00156798,0.00156798
5,187.707,1.00289,0.75387,1.16043,0.57365,0.69186,0.63603,0.37095,1.51119,1.29047,1.679,0.00153497,0.00153497,0.00153497
6,224.494,1.04906,0.75469,1.19914,0.63779,0.62785,0.65111,0.36367,1.58873,1.35498,1.76896,0.00150197,0.00150197,0.00150197
7,259.891,1.03446,0.78897,1.20435,0.64799,0.69957,0.67107,0.38213,1.51391,1.19898,1.67632,0.00146896,0.00146896,0.00146896
8,297.115,1.02592,0.76025,1.17047,0.62372,0.68228,0.65904,0.37327,1.55203,1.35935,1.7342,0.00143595,0.00143595,0.00143595
9,333.91,1.01352,0.70646,1.16334,0.72405,0.5887,0.63699,0.36116,1.52941,1.32626,1.72397,0.00140295,0.00140295,0.00140295
10,370.683,1.01905,0.73143,1.17504,0.68015,0.62162,0.63234,0.36506,1.55956,1.38279,1.75035,0.00136994,0.00136994,0.00136994
11,406.855,1.01822,0.72951,1.17009,0.70319,0.64603,0.66271,0.36993,1.50532,1.23086,1.66921,0.00133693,0.00133693,0.00133693
12,442.608,0.98439,0.70616,1.15045,0.63402,0.73897,0.69066,0.39919,1.52577,1.19227,1.71254,0.00130393,0.00130393,0.00130393
13,479.729,0.95052,0.66715,1.12384,0.60221,0.62758,0.63045,0.36589,1.53717,1.47031,1.69878,0.00127092,0.00127092,0.00127092
14,517.104,0.99114,0.71133,1.15963,0.64321,0.6901,0.68063,0.3854,1.54527,1.30971,1.67917,0.00123791,0.00123791,0.00123791
15,553.893,0.96686,0.69657,1.15875,0.66912,0.6412,0.63527,0.37186,1.49145,1.29606,1.6763,0.00120491,0.00120491,0.00120491
16,589.435,0.98395,0.7089,1.15476,0.63441,0.70802,0.64762,0.37362,1.53573,1.34561,1.72575,0.0011719,0.0011719,0.0011719
17,626.257,0.9681,0.67022,1.13667,0.68164,0.65369,0.65214,0.37763,1.53206,1.2327,1.70633,0.00113889,0.00113889,0.00113889
18,663.44,0.93053,0.63699,1.11494,0.64224,0.72898,0.66033,0.37621,1.54045,1.24911,1.77666,0.00110589,0.00110589,0.00110589
